stop_id,stop_name,stop_lat,stop_lon,stop_url
1321,CUESTA SABANDA,28.5597,-16.3321,http://www.titsa.com/correspondencias.php?idc=1321
1322,LA HOYA,28.564,-16.3309,http://www.titsa.com/correspondencias.php?idc=1322
1323,LA PUNTA,28.5673,-16.3285,http://www.titsa.com/correspondencias.php?idc=1323
1324,SAN MATEO,28.5687,-16.3251,http://www.titsa.com/correspondencias.php?idc=1324
1325,EL CASTILLO,28.5693,-16.3235,http://www.titsa.com/correspondencias.php?idc=1325
1326,EL TANQUE,28.5695,-16.3197,http://www.titsa.com/correspondencias.php?idc=1326
1327,PUNTA DEL HIDALGO,28.5708,-16.3184,http://www.titsa.com/correspondencias.php?idc=1327
1328,EL TANQUE,28.5695,-16.32,http://www.titsa.com/correspondencias.php?idc=1328
1329,EL CASTILLO,28.5693,-16.3236,http://www.titsa.com/correspondencias.php?idc=1329
1330,SAN MATEO,28.5687,-16.3253,http://www.titsa.com/correspondencias.php?idc=1330
1331,LA PUNTA,28.5667,-16.3288,http://www.titsa.com/correspondencias.php?idc=1331
1332,LA HOYA,28.5642,-16.3307,http://www.titsa.com/correspondencias.php?idc=1332
1333,CUESTA SABANDA,28.5598,-16.3322,http://www.titsa.com/correspondencias.php?idc=1333
1334,NEPTUNO,28.5554,-16.338,http://www.titsa.com/correspondencias.php?idc=1334
1335,EL SOL,28.5556,-16.3417,http://www.titsa.com/correspondencias.php?idc=1335
1336,BAJAMAR,28.5538,-16.3449,http://www.titsa.com/correspondencias.php?idc=1336
1337,EL RIEGO,28.5507,-16.349,http://www.titsa.com/correspondencias.php?idc=1337
1338,PORLIER,28.5454,-16.3508,http://www.titsa.com/correspondencias.php?idc=1338
1339,CLUB NAUTICO,28.5447,-16.353,http://www.titsa.com/correspondencias.php?idc=1339
1340,FINCA JOVER,28.543,-16.3559,http://www.titsa.com/correspondencias.php?idc=1340
1341,EL PUENTE,28.5362,-16.3588,http://www.titsa.com/correspondencias.php?idc=1341
1342,TEJINA,28.5351,-16.3609,http://www.titsa.com/correspondencias.php?idc=1342
1343,EL RAMAL (T),28.5334,-16.362,http://www.titsa.com/correspondencias.php?idc=1343
1344,EL CEMENTERIO,28.5321,-16.3596,http://www.titsa.com/correspondencias.php?idc=1344
1345,PATA RAJADA,28.5299,-16.3596,http://www.titsa.com/correspondencias.php?idc=1345
1346,LA ASOMADA,28.5292,-16.3561,http://www.titsa.com/correspondencias.php?idc=1346
1347,CUEVA JURADA,28.5263,-16.3524,http://www.titsa.com/correspondencias.php?idc=1347
1348,TAMARCO (T),28.5244,-16.3514,http://www.titsa.com/correspondencias.php?idc=1348
1349,EL SOCORRO,28.5238,-16.3494,http://www.titsa.com/correspondencias.php?idc=1349
1350,LAS TOSCAS,28.5231,-16.346,http://www.titsa.com/correspondencias.php?idc=1350
1351,CAMINO VIEJO,28.5225,-16.3425,http://www.titsa.com/correspondencias.php?idc=1351
1352,TEGUESTE,28.5213,-16.3375,http://www.titsa.com/correspondencias.php?idc=1352
1353,LOS LAURELES,28.5191,-16.3315,http://www.titsa.com/correspondencias.php?idc=1353
1354,NUEVAS TECNOLOGÍAS,28.5192,-16.3282,http://www.titsa.com/correspondencias.php?idc=1354
1355,PEDRO ÁLVAREZ,28.5172,-16.3211,http://www.titsa.com/correspondencias.php?idc=1355
1356,EL PALOMAR,28.5145,-16.315,http://www.titsa.com/correspondencias.php?idc=1356
1357,LA GORGOLANA,28.5138,-16.3092,http://www.titsa.com/correspondencias.php?idc=1357
1361,REPÚBLICA ARGENTINA,28.503,-16.3125,http://www.titsa.com/correspondencias.php?idc=1361
1363,PARQUE DE LA VEGA,28.4958,-16.3136,http://www.titsa.com/correspondencias.php?idc=1363
1364,PLAZA DEL CRISTO,28.4929,-16.314,http://www.titsa.com/correspondencias.php?idc=1364
1365,TABARES DE CALA,28.4906,-16.3147,http://www.titsa.com/correspondencias.php?idc=1365
1366,DEÁN PALAHI,28.4886,-16.3155,http://www.titsa.com/correspondencias.php?idc=1366
1369,CAMPUS,28.4809,-16.3132,http://www.titsa.com/correspondencias.php?idc=1369
1370,IES LA LABORAL,28.4781,-16.313,http://www.titsa.com/correspondencias.php?idc=1370
1372,SANTIAGO MARTÍN,28.4581,-16.2955,http://www.titsa.com/correspondencias.php?idc=1372
1373,HOSPITAL UNIVERSITARIO,28.4548,-16.2922,http://www.titsa.com/correspondencias.php?idc=1373
1374,NUEVO OBRERO,28.4466,-16.2897,http://www.titsa.com/correspondencias.php?idc=1374
1375,HOSPITAL LA CANDELARIA,28.4475,-16.2842,http://www.titsa.com/correspondencias.php?idc=1375
1376,CEMENTERIO,28.4507,-16.2771,http://www.titsa.com/correspondencias.php?idc=1376
1378,MANUEL HERMOSO ROJAS,28.4568,-16.2609,http://www.titsa.com/correspondencias.php?idc=1378
1381,OFRA,28.4603,-16.2825,http://www.titsa.com/correspondencias.php?idc=1381
1382,VISTABELLA (T),28.4659,-16.2829,http://www.titsa.com/correspondencias.php?idc=1382
1383,LA CUESTA (T),28.4682,-16.2866,http://www.titsa.com/correspondencias.php?idc=1383
1384,TABARES,28.4691,-16.29,http://www.titsa.com/correspondencias.php?idc=1384
1385,LA HIGUERITA,28.4696,-16.2937,http://www.titsa.com/correspondencias.php?idc=1385
1386,EL CHARCÓN,28.4705,-16.2973,http://www.titsa.com/correspondencias.php?idc=1386
1387,FINCA ESPAÑA,28.4727,-16.3005,http://www.titsa.com/correspondencias.php?idc=1387
1388,CHORRO DE GRACIA (T),28.4738,-16.3041,http://www.titsa.com/correspondencias.php?idc=1388
1389,MENCEY BENCOMO,28.4755,-16.3077,http://www.titsa.com/correspondencias.php?idc=1389
1390,MUSEO DE LA CIENCIA,28.4773,-16.3101,http://www.titsa.com/correspondencias.php?idc=1390
1391,LOS MENCEYES,28.4783,-16.3112,http://www.titsa.com/correspondencias.php?idc=1391
1394,CENTRO DE MENORES,28.4942,-16.2942,http://www.titsa.com/correspondencias.php?idc=1394
1401,LOS MENCEYES,28.4787,-16.3117,http://www.titsa.com/correspondencias.php?idc=1401
1402,MUSEO DE LA CIENCIA,28.4771,-16.3104,http://www.titsa.com/correspondencias.php?idc=1402
1403,MENCEY BENCOMO,28.4751,-16.3076,http://www.titsa.com/correspondencias.php?idc=1403
1404,CHORRO DE GRACIA (T),28.4737,-16.3043,http://www.titsa.com/correspondencias.php?idc=1404
1405,FINCA ESPAÑA,28.4722,-16.3002,http://www.titsa.com/correspondencias.php?idc=1405
1406,EL CHARCÓN,28.4703,-16.2973,http://www.titsa.com/correspondencias.php?idc=1406
1407,LA HIGUERITA,28.4694,-16.2938,http://www.titsa.com/correspondencias.php?idc=1407
1408,TABARES,28.4689,-16.2899,http://www.titsa.com/correspondencias.php?idc=1408
1409,LA CUESTA (T),28.4679,-16.2863,http://www.titsa.com/correspondencias.php?idc=1409
1410,VISTABELLA (T),28.4667,-16.2835,http://www.titsa.com/correspondencias.php?idc=1410
1416,HOSPITAL UNIVERSITARIO,28.4581,-16.2927,http://www.titsa.com/correspondencias.php?idc=1416
1417,LAS TORRES,28.4547,-16.2932,http://www.titsa.com/correspondencias.php?idc=1417
1419,PLAZA SAN JERONIMO,28.4483,-16.2978,http://www.titsa.com/correspondencias.php?idc=1419
1420,CRUCE DE TACO,28.4466,-16.2996,http://www.titsa.com/correspondencias.php?idc=1420
1422,LOS CHARCOS,28.4466,-16.2973,http://www.titsa.com/correspondencias.php?idc=1422
